question,category,options,answer,explanation
抗血栓薬服用中の消化器内視鏡検査において基礎疾患について問診で確認が必要である。誤っている対応はどれか。,薬理,a.バイアスピリン内服中に生検は可能である|b.ワルファリンカリウムは3～4日間、アスピリンは3日間、チクロピジン塩酸塩は5日間の休薬がなされていることを確認して生検する|c.アスピリン、アスピリン以外の抗血小板薬、抗凝固薬のいずれか1剤を服用している場合は、休薬なしで生検してよい|d.クロピドグレル硫酸塩内服中に生検・出血なしを確認する,b,ガイドラインでは、アスピリンなどの抗血小板薬単剤、あるいはワルファリンなどの抗凝固薬単剤であれば、休薬なしで生検を行うことが許容されている（出血リスクは低いとされる）。休薬期間を設けるという記述は古いか誤り。
血液検査で貧血が見られた。貧血の原因となる疾患はどれか。,臨床,a.本態性血小板血症|b.血小板減少性紫斑病|c.肝硬変症|d.播種性血管内凝固症候群|e.溶血性尿毒症症候群,c,肝硬変では門脈圧亢進による脾機能亢進症で血小板減少や貧血（消化管出血含む）をきたす。
次の組み合わせのうち誤っているものはどれか。,臨床,a.acute cholecystitis - 急性胆嚢炎|b.pancreatic cancer - 膵臓癌|c.gallbladder polyp - 胆嚢ポリープ|d.primary biliary cholangitis - 原発性胆汁性肝硬変（PBC）|e.primary sclerosing cholangitis - 原発性硬化性胆管炎（PSC）,d,Primary Biliary Cholangitisの日本語訳は現在「原発性胆汁性胆管炎」に変更されている（以前は肝硬変と言われていた）。
鎮静に用いるベンゾジアゼピン系薬物の拮抗薬として正しいものはどれか。,薬理,a.ミダゾラム|b.ペンタゾシン塩酸塩|c.プロポフォール|d.フルマゼニル|e.ジアゼパム,d,ベンゾジアゼピン系（ミダゾラム等）の拮抗薬はフルマゼニル（アネキセート）である。ナロキソンはオピオイド拮抗薬。
接触感染対策（手指衛生、ガウン、手袋）が必要な病原体はどれか。,管理,a.結核菌|b.インフルエンザウイルス|c.麻疹ウイルス|d.多剤耐性緑膿菌|e.風疹ウイルス,d,多剤耐性菌やクロストリディオイデス・ディフィシル、ノロウイルスなどは接触感染対策が必要。結核・麻疹は空気感染、インフルエンザ・風疹は飛沫感染対策が主となる。
医療面接（インフォームド・コンセント）について正しいのはどれか。,管理,a.患者の自己決定権を尊重する|b.専門用語を多用して説明する|c.家族の同意があれば本人の同意は不要|d.看護師が主体となって行う|e.一度同意したら撤回できない,a,患者が十分に理解できるよう平易な言葉で説明し、患者自身の自由な意思決定（自己決定権）を支援・尊重するのが基本である。
早期胃癌の深達度診断で正しいのはどれか。,臨床,a.粘膜内癌は通常200倍程度の拡大観察で識別可能である|b.カプセル内視鏡は食道から小腸までの拡大内視鏡観察が可能である|c.電子内視鏡はCCDカメラからグラスファイバーを束ねて画像が伝送される|d.細径内視鏡は送気・送水チャンネルから挿入する|e.通常の拡大内視鏡は最大で約135倍（32インチモニター上）の高解像度拡大画像を得ることができる,e,最新の拡大内視鏡は光学ズームにより高倍率（80〜100倍以上）の観察が可能。カプセル内視鏡は拡大機能を持たない（一部を除く）。
小児内視鏡について正しいものはどれか。,管理,a.内視鏡的逆行性胆管膵管造影法（ERCP）は禁忌である|b.鎮静の内服薬を使用する|c.成人と比較して先天性疾患の割合が多い|d.家族への十分なインフォームドコンセントが重要である|e.全身麻酔の使用は禁忌である,c&d,小児では先天性胆道拡張症などの先天性疾患に対しERCPを行うことがあるため禁忌ではない。鎮静や全身麻酔は必要に応じて行われる。家族（保護者）へのICが必須。
内視鏡的粘膜切除術（EMR）について正しいものはどれか。,処置,a.生理食塩水あるいはヒアルロン酸ナトリウムなどを粘膜下層に局注する|b.大腸で術中穿孔率は5%程度である|c.スネアで病変を絞扼し高周波電源を用いて切除する|d.Non-lifting signを呈する粘膜内病変や潰瘍形成病変では手技が困難である|e.すべて,a&c&d,EMRは粘膜下層に生理食塩水等を注入して病変を浮き上がらせ、スネアで絞扼・通電切除する。Non-lifting sign（挙上しない）は深部浸潤や線維化を示唆しEMR困難・禁忌となる。
ERCPに関連する偶発症として、最も多いのが急性膵炎で、他に出血、穿孔、急性胆管炎などがある。誤っているものはどれか。,処置,a.高熱は誤嚥性肺炎の症状である|b.発熱は胆管炎の症状である|c.背部痛は内視鏡的乳頭括約筋切開術後穿孔の症状である|d.腹痛・圧痛、X線撮影にて右腎周囲などの腹腔内にfree airが確認できる|e.黄疸は内視鏡的胆道ドレナージ後の閉塞症状である,a,高熱は胆管炎でも生じる。誤嚥性肺炎でも発熱するが、ERCP偶発症としての高熱＝胆管炎が最も典型的。選択肢の中で明らかに誤り（または他より可能性が低い）を選ぶなら文脈によるが、ここでは解説に基づき判断する。
腹腔鏡・内視鏡合同手術（LECS）について正しいものはどれか。,処置,a.腹腔鏡と内視鏡を併用して胃を部分切除する|b.5cm以下の胃粘膜下腫瘍が適応である|c.内視鏡医による胃内からのアプローチと外科医による腹腔鏡下手術のハイブリッド手術であり全身麻酔下で行う|d.過剰な切除を避けるために考案された手術方法である|e.すべて,e,LECS（Laparoscopic and Endoscopic Cooperative Surgery）は、内視鏡と腹腔鏡を併用し、必要最小限の切除で胃の機能を温存する術式で、主にGISTなどの粘膜下腫瘍に対し行われる。
消化管出血の止血に使用するものはどれか。,処置,a.把持鉗子|b.トロンビン|c.クリップ|d.グリセオール|e.すべて,e,物理的止血（クリップ）、薬剤散布（トロンビン）、薬剤局注（グリセオール等の硬化剤）、把持鉗子（異物除去等や圧迫）などが状況に応じて使用される。
超音波内視鏡下穿刺吸引法（EUS-FNA）に使用する処置具はどれか。,処置,a.パピロトーム|b.スネア|c.穿刺針（FNAニードル）|d.バルーン|e.バスケット鉗子,c,EUS-FNAは超音波ガイド下に穿刺針を用いて組織・細胞を採取する手技である。パピロトームはEST、スネアはポリープ切除に用いる。
60代男性。アルコール性肝硬変で加療中。突然吐血を繰り返して緊急搬送された。救急隊からの情報では、意識消失で全身状態は落ち着いていること、緊急上部消化管内視鏡検査を施行する可能性が高い。内視鏡室しておく必要のないものはどれか。,臨床,a.内視鏡的結紮デバイス（EVL）|b.モニター|c.オーバーチューブ|d.経口腸管洗浄剤|e.二酸化炭素送気装置,d,吐血（食道静脈瘤破裂疑い）の緊急内視鏡において、腸管洗浄剤（下剤）は不要かつ誤嚥のリスクがあり禁忌に近い。止血デバイスや気道確保具、CO2送気は準備すべき。
胆道・膵臓について誤っているものはどれか。,基礎,a.Vater乳頭は十二指腸下行部に存在する|b.総胆管の太さは、正常では直径10-15mmである|c.総肝管と胆嚢管が合流して総胆管となる|d.胆嚢は肝臓の下面に付着している|e.膵臓は、上腸間膜静脈の左側までを膵頭部という,b,総胆管の正常径は7mm前後（〜10mm未満）であり、10-15mmは拡張とみなされる。Vater乳頭は下行部、膵頭部は上腸間膜静脈の右側である。
胆嚢の収縮に関わるホルモンはどれか。,基礎,a.コレシストキニン・パンクレオザイミン（CCK-PZ）|b.インスリン|c.グルカゴン|d.エストロゲン|e.ガストリン,a,CCK（コレシストキニン）は十二指腸・空腸のI細胞から分泌され、胆嚢収縮と膵酵素分泌を促進する。
胃底腺を構成する細胞と分泌物の組み合わせで正しいものはどれか。,基礎,a.主細胞……ペプシノーゲン|b.壁細胞……粘液|c.壁細胞……リパーゼ|d.副細胞……塩酸|e.G細胞……ガストリン,a,主細胞はペプシノーゲン、壁細胞は塩酸（胃酸）と内因子、副細胞は粘液、G細胞はガストリンを分泌する。
膵癌のリスクファクターとして正しいものはどれか。,臨床,a.膵癌の家族歴|b.糖尿病|c.慢性膵炎|d.喫煙、大量飲酒|e.すべて,e,膵癌診療ガイドラインにおいて、家族歴、糖尿病、慢性膵炎、喫煙、肥満などは膵癌のリスクファクターとして挙げられている。
鎮静剤に関する記述のもので正しいものはどれか。,薬理,a.ミダゾラムで呼吸抑制は起こらない|b.ミダゾラムの拮抗薬としてフルマゼニルが使用される|c.デクスメデトミジン塩酸塩に拮抗する薬剤としてアチパメゾールがある|d.プロポフォールは拮抗する薬剤としてフルマゼニルが使用される|e.すべての鎮静薬に拮抗薬がある,b,ミダゾラム（ベンゾジアゼピン系）の拮抗薬はフルマゼニルである。プロポフォールには拮抗薬がない。ミダゾラムは呼吸抑制のリスクがある。
小腸用カプセル内視鏡検査について誤りはどれか。,機器,a.患者の苦痛は蠕動運動シングルユースである|b.小腸開通性が不明であり行うことはできない|c.検査中安静の必要はない|d.パテンシーカプセルを使用する|e.カプセルは回収して再利用する,e,カプセル内視鏡はディスポーザブル（使い捨て）であり、再利用はしない。パテンシーカプセルで開通性を確認後に施行する。
食道アカラシアの診断・検査について正しいものはどれか。,臨床,a.食道内圧検査|b.経鼻食道内視鏡検査|c.上部消化管内視鏡検査|d.食道造影検査|e.すべて,e,アカラシアの診断には、食道造影（鳥の嘴像）、内視鏡（拡張・液体貯留）、食道内圧検査（LES弛緩不全の証明）などが用いられる。
胃潰瘍の分類には、「山田分類」が用いられる。,臨床,a.正しい|b.誤り（崎田・三輪分類）|c.誤り（F分類）|d.誤り（Borrmann分類）|e.誤り（Child-Pugh分類）,b,胃潰瘍の病期分類には「崎田・三輪分類（A、H、S期）」が用いられる。山田分類は胃ポリープ、Borrmann分類は進行胃癌の分類である。
色素内視鏡検査について正しい記述はどれか。,臨床,a.カルジオブルーで食道癌が染色される|b.インジゴカルミンで腺上皮が黒色に染色される|c.酢酸の散布によって腺窩開口部が明瞭化される|d.胃壁にコンゴーレッドを散布すると、胃酸の分泌がある部位が赤く染まる|e.拡大観察の際には色素散布は不要である,c,インジゴカルミンはコントラスト法（溜まり）であり染まらない。コンゴーレッドは胃酸と反応して黒変する。酢酸は粘膜の蛋白を変性させ表面構造（ピット）を明瞭化する（AIM）。
食道について正しい記述はどれか。,基礎,a.食道は気管の前方に位置する|b.食道には漿膜が存在する|c.食道下部は腹膜に覆われている|d.食道内腔は単層円柱上皮で覆われている|e.成人での全長は約25cmである,e,食道は気管の後方に位置し、漿膜を欠く（外膜のみ）。食道粘膜は重層扁平上皮である。全長は約25cm。
内視鏡的逆行性胆管膵管造影検査（ERCP）の危険因子として正しいものはどれか。,処置,a.膵原性腹水|b.女性|c.プレカット|d.Oddi筋機能不全|e.肥満,b&c&d,ERCP後膵炎のリスク因子として、女性、若年者、Oddi筋機能不全、プレカット（手技関連）などが知られている。肥満は直接のリスクではない。
胆管合流異常について誤っているものはどれか。,臨床,a.先天性の疾患である|b.男女比は約1:3で若年女性に多く見られる|c.膵管合流部での胆道拡張の好発年齢は60～70歳である|d.内視鏡的逆行性胆管膵管造影は診断に有用である|e.健常人と比較して胆管結石を合併しやすい,c,先天性胆道拡張症（膵胆管合流異常）は小児期〜若年期に発見されることが多く、好発年齢が60-70歳というのは誤り（胆石等は高齢に多いが先天異常は若年）。胆道癌のリスクが高い。
プレカットはERCP後膵炎の手技的危険因子である。,処置,a.正しい|b.誤り|c.関係ない|d.予防因子である|e.不明,a,プレカット（予備切開）は、通常の挿管困難例に行われる手技であり、膵管への熱侵襲や浮腫を引き起こしやすく、ERCP後膵炎のリスク因子となる。
大腸コールドポリペクトミーについて、正しいものはどれか。,処置,a.抗血小板薬は休薬する必要がある|b.鎮静が必要である|c.ペースメーカーが植え込まれている場合も施行可能である|d.通電が必要である|e.冷凍凝固は必要ない,c&e,Cold Polypectomy（CSP）は高周波通電を行わないため、ペースメーカーへの影響がなく、抗血栓薬服用者でも出血リスクが低いため休薬なしで施行可能な場合が多い。冷凍凝固は行わない。
内視鏡的乳頭括約筋切開術について正しい記述はどれか。,処置,a.偶発症として膵炎がある|b.早期偶発症として総胆管結石再発が挙げられる|c.胆管癌が口側胆管に及ぶ|d.高周波装置は自動制御可能な切開モードが主流である|e.切開方向は11時〜12時方向である,a&d&e,ESTの偶発症には出血、穿孔、膵炎がある。結石再発は晩期偶発症。切開方向は乳頭の11-12時方向が安全域とされる。
食道静脈瘤の所見として、赤色所見（red color sign）RC3の所見はどれか。,臨床,a.発赤所見なし|b.線状の発赤（Red wale marking）|c.血豆様発赤（Cherry red spot）|d.全周性の発赤|e.結合織性被膜,d,RCサインの重症度分類において、RC0はなし、RC1は限局性、RC2は全周性でない散在性、RC3は全周性の赤色所見を指す（取り扱い規約によるが、選択肢から全周性が最も重度）。
内視鏡的止血法において正しい効果判定はどれか。,処置,a.直腸からびまん性出血に圧迫法は効果的である|b.動脈性出血には圧迫止血の第一選択である|c.高周波焼灼術は熱凝固法である|d.組織接着法がクリップ法に比べ大きい|e.止血鉗子は再出血予防に有効である,c,高周波凝固やAPCは熱凝固法に分類される。びまん性出血には圧迫やAPC、動脈性にはクリップや高周波鉗子が用いられる。
大腸ステントを挿入するための適応として正しいものはどれか。,処置,a.良性疾患による狭窄|b.悪性腫瘍による閉塞症状の緩和（BTS/Palliative）|c.穿孔を伴う閉塞|d.腹膜炎のある症例|e.予防的留置,b,大腸ステントは、大腸癌などの悪性腫瘍による閉塞症状の緩和（姑息的治療）や、手術までの待機期間の減圧（BTS: Bridge to Surgery）に適応となる。良性狭窄や穿孔例は原則禁忌。
感染性心内膜炎の予防として、抜歯や内視鏡的処置の際に抗菌薬投与を推奨する対象疾患はどれか。,管理,a.人工弁置換術後|b.チアノーゼ性先天性心疾患|c.感染性心内膜炎の既往|d.心臓移植後の弁膜症|e.すべて,e,循環器学会ガイドライン等では、人工弁、感染性心内膜炎の既往、未修復の先天性短絡性心疾患（チアノーゼ性）などは高リスク群とされ、出血を伴う処置の際に予防的抗菌薬投与が推奨される。
アルゴンプラズマ凝固法について誤りはどれか。,機器,a.対極板を必要とする|b.非接触で広い面を深く凝固できる|c.レーザー発生装置は用いない|d.毛細血管拡張症に有用である|e.専用のプローブが必要である,b,APCは「浅く」均一に凝固できるのが特徴であり、深く凝固して穿孔するリスクが低い。モノポーラなので対極板は必要。
小腸で消化吸収される栄養素のうち、胸管を通って輸送されるのはどれか。,基礎,a.アミノ酸|b.中性脂肪（脂肪酸）|c.ブドウ糖|d.電解質|e.水溶性ビタミン,b,脂肪（中性脂肪）は分解後、リンパ管（乳び管）に入り、胸管を経て静脈角から血液中に合流する。糖やアミノ酸は門脈を通って肝臓へ行く。
次のうち非上皮性腫瘍はどれか。2つ選べ。,臨床,a.食道乳頭腫|b.悪性リンパ腫|c.大腸癌|d.胃腺腫|e.消化管間質腫瘍（GIST）,b&e,癌や腺腫、乳頭腫は上皮性腫瘍（粘膜表面から発生）。GIST、悪性リンパ腫、平滑筋腫などは非上皮性腫瘍（粘膜下層以下の組織から発生）である。
抗血栓薬のうち直接作用型経口抗凝固薬（DOAC）はどれか。,薬理,a.アスピリン|b.エドキサバン|c.クロピドグレル|d.ワルファリンカリウム|e.イコサペント酸エチル,b,エドキサバン、リバーロキサバン、ダビガトランなどはDOAC。アスピリン、クロピドグレルは抗血小板薬。ワルファリンはビタミンK拮抗薬。
胃潰瘍について誤りはどれか。,基礎,a.胃潰瘍は消化性潰瘍に含まれる|b.ヘリコバクター・ピロリ菌との関連性がある|c.進行胃癌は胃内視鏡的粘膜下層剥離術の適応である|d.喫煙と関連性がある|e.非ステロイド性抗炎症薬（NSAIDs）の合併症として消化性潰瘍がある,c,進行胃癌（筋層以深への浸潤）は内視鏡治療（ESD）の適応外であり、外科手術が必要。ESDはリンパ節転移のない早期癌が適応。
閉塞性黄疸が高値になる。特に、悪性度の高い腫瘍閉塞ではその傾向が強い。関連する検査値はどれか。,臨床,a.急性閉塞性化膿性胆管炎|b.下部胆管癌|c.膵頭部癌|d.肝硬変|e.直接ビリルビン,e,閉塞性黄疸では胆汁排泄障害により「直接ビリルビン」が優位に上昇する。疾患名ではなく検査項目を問うているならビリルビン。
血小板数が低下する疾患はどれか。,臨床,a.本態性血小板血症|b.血小板減少性紫斑病（ITP）|c.播種性血管内凝固症候群（DIC）|d.溶血性尿毒症症候群（HUS）|e.肝硬変,b&c&d&e,ITP、DIC、HUS、肝硬変（脾機能亢進）はいずれも血小板減少をきたす。本態性血小板血症は血小板が増加する。
鎮静鎮痛、鎮痙薬と拮抗薬の組み合わせで誤っているものはどれか。,薬理,a.ミダゾラム --- フルマゼニル|b.ペチジン塩酸塩 --- ナロキソン塩酸塩|c.プロポフォール --- なし|d.デクスメデトミジン塩酸塩 --- フルマゼニル|e.ジアゼパム --- フルマゼニル,d,デクスメデトミジンの拮抗薬はアチパメゾール（※本邦未承認の場合もあるがフルマゼニルではない）。フルマゼニルはベンゾジアゼピン系（ミダゾラム、ジアゼパム）の拮抗薬。
スポルディング分類について正しいのはどれか。,管理,a.低水準消毒は高水準消毒より強力である|b.消化器内視鏡はクリティカルに分類される|c.医療機器や機材の適切な操作方法の分類である|d.ホルマリン・ポビドンヨード・クレゾール石鹸液は中水準消毒薬に分類される|e.非脂質はグルタラールで死滅する,d,スポルディング分類は感染リスクに応じた消毒レベルの分類。内視鏡はセミクリティカル（高水準消毒）。ポビドンヨード等は中水準。グルタラールは高水準。
消化管の壁構造で管腔内から壁外へ向かって正しい順序はどれか。,基礎,a.粘膜—粘膜下層—固有筋層—漿膜下層—漿膜|b.粘膜—粘膜筋板—粘膜下層—固有筋層—漿膜下層—漿膜|c.粘膜—固有筋層—粘膜筋板—粘膜下層—漿膜|d.粘膜—固有筋層—粘膜下層—粘膜筋板—漿膜,b,消化管壁は内側から、粘膜上皮・粘膜固有層・粘膜筋板（これらを合わせて粘膜層）、粘膜下層、固有筋層、漿膜下層、漿膜の順で構成されている。食道など一部は漿膜を欠き外膜となる。
ヘリコバクター・ピロリ感染の診断方法として内視鏡を使用するものはどれか。,臨床,a.迅速ウレアーゼ試験|b.尿素呼気試験|c.抗体法（血液・尿）|d.便中抗原測定,a,迅速ウレアーゼ試験、鏡検法、培養法は内視鏡で胃粘膜を採取（生検）して行う侵襲的検査である。尿素呼気試験や抗体法は内視鏡を用いない非侵襲的検査である。
肝硬変の際にみられる身体所見（表徴）はどれか。,臨床,a.手掌紅斑|b.スプーン状爪|c.眼球突出|d.蝶形紅斑,a,肝硬変ではエストロゲン代謝異常などにより、手掌紅斑やクモ状血管腫、女性化乳房などが見られる。また門脈圧亢進により食道静脈瘤や脾腫（脾機能亢進）を合併する。
クローン病について正しいのはどれか。,臨床,a.直腸から連続性に広がる|b.全層性の炎症により狭窄や瘻孔を形成しやすい|c.血管透見像の消失が特徴である|d.高齢者に好発する,b,クローン病は消化管のあらゆる部位に非連続性（飛び石状）の病変を形成し、全層性炎症のため狭窄、瘻孔、膿瘍などを合併しやすい。連続性病変や血管透見消失は潰瘍性大腸炎の特徴である。
小腸用カプセル内視鏡検査について誤っている記述はどれか。,機器,a.患者の苦痛は少ない|b.小腸の狭窄が疑われる場合は禁忌である|c.カプセルは回収して再利用する|d.検査中は日常生活に近い行動が可能である,c,カプセル内視鏡はディスポーザブル（使い捨て）であり、通常は便とともに排出され廃棄する。狭窄がある場合は滞留（滞留）のリスクがあるため禁忌である。
胃の部位名称において、口側から肛門側への順序で正しいものはどれか。,基礎,a.噴門—胃体部—胃角部—前庭部—幽門|b.噴門—胃角部—胃体部—前庭部—幽門|c.噴門—前庭部—胃体部—胃角部—幽門|d.幽門—前庭部—胃体部—胃角部—噴門,a,食道との接合部が噴門、その下が胃体部、小弯の切痕部が胃角部、その先が幽門前庭部、十二指腸への出口が幽門である。
副交感神経遮断薬（抗コリン薬）によって起きない反応はどれか。,薬理,a.瞳孔散大（散瞳）|b.頻脈|c.消化管運動の抑制|d.瞳孔縮小（縮瞳）,d,抗コリン薬（ブチルスコポラミン等）は副交感神経を抑制するため、交感神経優位となり散瞳、心拍数増加（頻脈）、消化管運動抑制、口渇などが起こる。縮瞳は起きない。
ワルファリンカリウムが拮抗するビタミンはどれか。,薬理,a.ビタミンA|b.ビタミンB1|c.ビタミンC|d.ビタミンK,d,ワルファリンは肝臓でのビタミンK依存性凝固因子の合成を阻害することで抗凝固作用を発揮する。したがってビタミンK（納豆やクロレラ等）の摂取により作用が減弱する。
食欲を亢進（増進）させるホルモンはどれか。,基礎,a.レプチン|b.グルカゴン|c.グレリン|d.セクレチン,c,グレリンは胃から分泌され、食欲を亢進させる作用を持つ。レプチンは脂肪細胞から分泌され食欲を抑制する。
消化管粘膜下腫瘍（SMT）の精査として最も有用な検査はどれか。,臨床,a.NBI拡大観察|b.超音波内視鏡検査（EUS）|c.ルゴール染色|d.インジゴカルミン散布,b,SMTは粘膜の下にある病変であり、表面を見る通常内視鏡やNBIでは内部構造が分からない。EUSを用いることで病変の内部性状、発生層、大きさなどを詳細に評価できる。
クリップ止血法について誤っている記述はどれか。,処置,a.再出血の予防効果が高い|b.磁気共鳴画像（MRI）検査は絶対禁忌である|c.組織の壊死が少ない|d.縫縮としても利用できる,b,かつての鉄製クリップはMRI禁忌だったが、現在主流のチタン製やステンレス製クリップの多くはMRI対応（条件付き可）となっており、「絶対禁忌」という記述は誤りになりつつある（ただし製品確認は必須）。
65歳男性、吐血によるショック状態で搬送された。上部消化管内視鏡検査中に鎮静剤による血圧低下が見られた場合の対応として適切な薬剤はどれか。,薬理,a.アトロピン|b.フルマゼニル（拮抗薬）|c.プロプラノロール|d.ヘパリン,b,ベンゾジアゼピン系鎮静薬による過鎮静や呼吸抑制、血圧低下が見られた場合、拮抗薬であるフルマゼニル（アネキセート）を投与して覚醒を促す。
ビタミンについて正しい記述はどれか。,基礎,a.脂溶性ビタミンはB群とCである|b.水溶性ビタミンはA、D、E、Kである|c.体内で合成できないため食事から摂取する必要がある|d.すべて体内で合成できる,c,ビタミンは微量栄養素であり、原則として体内で合成できないため食事摂取が必要。脂溶性はD、A、K、E（だけ）、水溶性はB群、Cである。
高周波電流（電気メス）について正しい記述はどれか。,機器,a.エンドカットモードは組織の切開を行う|b.アルゴンプラズマ凝固（APC）は組織深部まで深く凝固する|c.凝固波は電圧が低く連続波である|d.対極板はバイポーラで必要である,a,エンドカットは切開と凝固を繰り返すモード。APCは浅い凝固が特徴。凝固波は高電圧・断続波。対極板はモノポーラで必要。
リドカイン（キシロカイン）スプレーの使用について誤っている記述はどれか。,薬理,a.1回の噴霧量は製品によって異なる|b.副作用にショックや中毒がある|c.高齢者では増量して使用する|d.血中濃度が上昇すると痙攣などを起こす,c,高齢者や肝機能障害患者では代謝が遅延し中毒を起こしやすいため、減量して慎重に使用する必要がある。
カルテ記載で用いられる略語と意味の組み合わせで正しいのはどれか。,管理,a.NSAIDs — 非ステロイド性抗炎症薬|b.PPI — プロトンポンプ阻害薬|c.ESD — 内視鏡的粘膜下層剥離術|d.すべての組み合わせ,d,NSAIDs（Non-Steroidal Anti-Inflammatory Drugs）、PPI（Proton Pump Inhibitor）、ESD（Endoscopic Submucosal Dissection）はいずれも正しい。
内視鏡の洗浄・消毒管理において不要な項目はどれか。,管理,a.洗浄履歴の記録|b.消毒薬の濃度管理|c.洗浄室のCO2濃度測定|d.水質管理（細菌検査等）,c,洗浄・消毒工程において、CO2濃度の測定は不要である。グルタラール等の蒸気濃度管理（環境対策）は必要だが、CO2ではない。
消化管出血の止血に使用される薬剤として正しいものはどれか。,薬理,a.トロンビン|b.高張Naエピネフリン液（HSE）|c.エタノール|d.すべての薬剤,d,トロンビンは散布して凝固を促進、HSEは局注して血管収縮と膨隆による圧迫、エタノールは局注して組織固定・脱水凝固による止血を行う。
